Channels,Zones
BC:Whisler/Black,
BC:NewWstmnstr,
BC:Vancouver/Sey,
BC:PortAlbernir,
BC:Squamish,
BC:W.Vancvr/Ambl,
Bellevue/Cougar,
Bellingham UHF,
Bellingham VHF,
Biggs/Juniper Pt,
Bordmn/GolG,
Coeur d'Alene,
CdA Metro,
Ellens/SunE UHF,
Ellens/SunE VHF,
Ephrata/Beasley,
HoodRiver/Burd,
IssaquahTiger,
Lewiston ID,
Mazama VHF,
MM/RexX 2Slot,
MM/Otis 430,
MM/Bridget 430,
MM/Wes 430,
MM/Ned,
MM/Demi 2Slot,
MM/Suzy 430,
MM/Peter 430,
Moses Lk/Frechmn,
NBend/ValleyCamp,
Ocean Shores,
Olympia/Cap Pk,
Oso/Frailey,
Poteros/Goat Mtn,
Prineville/Town,
Pullman/Pullman,
Saint Maries ID,
Seattle/South,
Seattle/Metro,
Sequim/Blyn Mtn,
Shelton/SpncrLk,
Snoq/RttlsnakeU,
Snoq/RttlsnakeV,
Spokane/Lkout U,
Spokane/Krell U,
Spokane/Krell V,
SpknVly/RdgcrstU,
SpknVly/RdgcrstV,
Sultan/Haystack,
Tacoma/Ruston,
Tacoma/Baldi,
Tacoma/Baldi U,
Tacoma/Baldi V,
TheDall/StackrBu,
Tri-Citi/JOJ UHF,
Tri-Citi/JOJ VHF,
TroutLk/FltpMtn,
Tulalip/TulalipE,
Tulalip/TulalipW,
Wenatchee/LoBdgr,
Widbey Island,
Winthrop/RiserLk,
Yakima/Elephant,
GMRS [0-9]+,UL GMRS
FRS [0-9]+,UL FRS NBFM
FM 44,Simplex A UHF
